# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 5909354
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
  33     640.00     660.00  6.388162678101481E-05  4.178777426930482E-06 88507106
  34     660.00     680.00  6.390886081296249E-05  3.024590320570461E-06 83302005
  35     680.00     700.00  5.438011778275157E-05  2.523117244527957E-06 78465925
  36     700.00     720.00  5.185701246252509E-05  2.024191189471471E-06 73970640
  37     720.00     740.00  3.608523482363858E-05  3.741735843646295E-06 69791475
  38     740.00     760.00  3.661759411318122E-05  2.295797048960590E-06 65887649
  39     760.00     780.00  2.937995480960508E-05  1.885721705412255E-06 62258566
  40     780.00     800.00  2.964374645584078E-05  1.385827047927472E-06 58891413
  41     800.00     820.00  2.439651809447346E-05  1.554166569029210E-06 55726343
  42     820.00     840.00  1.548100828378422E-05  2.283768646761385E-06 52755198
  43     840.00     860.00  1.615057563609774E-05  1.959525546605925E-06 50011126
  44     860.00     880.00  1.760540069988960E-05  8.840136904468559E-07 47412898
  45     880.00     900.00  9.179359191905579E-06  1.806321097359850E-06 44986904
  46     900.00     920.00  1.208223339009819E-05  9.978964878168956E-07 42695871
  47     920.00     940.00  9.753852534628718E-06  1.184970346745334E-06 40543146
  48     940.00     960.00  7.407963833587205E-06  1.051611673835918E-06 38535753
  49     960.00     980.00  7.206766979099046E-06  1.234892375664496E-06 36643662
  50     980.00    1000.00  8.809030413727956E-06  5.436885594274212E-07 34841346
  51    1000.00    1020.00  6.123298871139322E-06  7.268617339646336E-07 33173692
  52    1020.00    1040.00  6.481392998332886E-06  4.024591918282705E-07 31576911
  53    1040.00    1060.00  4.593819280723354E-06  5.638375156936272E-07 30086938
  54    1060.00    1080.00  4.118959212314424E-06  8.768007282362543E-07 28673147
  55    1080.00    1100.00  4.057116654781120E-06  4.446195679815825E-07 27340633
  56    1100.00    1120.00  3.438011757190669E-06  6.092880387440236E-07 26089403
  57    1120.00    1140.00  2.435202164969940E-06  6.493584750053382E-07 24885235
  58    1140.00    1160.00  2.023322695781601E-06  6.138909223624935E-07 23752842
  59    1160.00    1180.00  2.518228096725111E-06  3.050703005354370E-07 22685788
  60    1180.00    1200.00  2.036707885213338E-06  3.768654272237175E-07 21667187
  61    1200.00    1220.00  9.717187004660854E-07  6.449338608662636E-07 20711348
  62    1220.00    1240.00  1.603219729059425E-06  2.903581157033774E-07 19803002
  63    1240.00    1260.00  1.436862371041621E-06  3.040732622750672E-07 18932389
  64    1260.00    1280.00  8.189017284983790E-07  4.022176668375090E-07 18106725
  65    1280.00    1300.00  1.140248571748402E-06  2.353050541856775E-07 17330162
  66    1300.00    1320.00  1.332629932082308E-06  1.892161102754386E-07 16595243
  67    1320.00    1340.00  8.609730039438407E-07  3.202007933928484E-07 15884503
  68    1340.00    1360.00  6.495036863121334E-07  3.078607285741891E-07 15212514
  69    1360.00    1380.00  7.230289562593149E-07  1.795812503871908E-07 14583532
  70    1380.00    1400.00  6.531638618344237E-07  2.320672380220997E-07 13963880
  71    1400.00    1420.00  3.459840505954325E-07  2.396054033984360E-07 13387112
  72    1420.00    1440.00  4.585036466444133E-07  1.930661023743298E-07 12829333
  73    1440.00    1460.00  5.166467955794917E-07  1.526500103214695E-07 12297548
  74    1460.00    1480.00  3.161022452093001E-07  1.525518520328320E-07 11804987
  75    1480.00    1500.00  4.520482121904991E-07  7.629156652458871E-08 11327504
  76    1500.00    1520.00  4.191172014888642E-07  6.741532923504398E-08 10870027
  77    1520.00    1540.00 -1.374438735008251E-07  2.561248465767115E-07 10431999
  78    1540.00    1560.00  1.336255821476621E-07  1.312043410898121E-07 10011305
  79    1560.00    1580.00 -1.929239305213339E-09  1.668106011817582E-07 9616960
  80    1580.00    1600.00  1.929411853692822E-07  9.151995655960038E-08 9238573
  81    1600.00    1620.00  1.728305854109009E-07  8.170353844410820E-08 8876226
  82    1620.00    1640.00  1.029862504807503E-07  8.968305528095067E-08 8525357
  83    1640.00    1660.00 -5.407347998244247E-08  1.286019674274473E-07 8188461
  84    1660.00    1680.00  1.213951621669819E-07  5.850296940235317E-08 7871333
  85    1680.00    1700.00  1.202594610107740E-07  5.482558221410369E-08 7565507
  86    1700.00    1720.00  4.442030330474698E-08  7.192009940246568E-08 7273920
  87    1720.00    1740.00  1.471500110799806E-07  3.040388651516756E-08 6993762
  88    1740.00    1760.00  1.201908638032871E-07  4.307039124487956E-08 6720482
  89    1760.00    1780.00  2.590866045653782E-08  5.558631623692263E-08 6475455
  90    1780.00    1800.00  5.285740316635862E-08  4.886389372839979E-08 6225125
  91    1800.00    1820.00  1.070141201878662E-07  1.788316200687618E-08 5984298
  92    1820.00    1840.00 -4.255513882700682E-09  6.926492516143159E-08 5760691
  93    1840.00    1860.00  2.835149910127736E-08  3.643047791838399E-08 5545169
  94    1860.00    1880.00  6.048445860977954E-08  2.865208734876331E-08 5334413
  95    1880.00    1900.00 -3.094089156621574E-09  4.386866172105727E-08 5134281
  96    1900.00    1920.00  4.371952081569499E-08  2.517685972754163E-08 4943754
  97    1920.00    1940.00  4.637666894117080E-08  2.686357351733256E-08 4761384
