# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
  40     790.00     810.00  5.673129752320133E-07  4.195764393662962E-08 16513670
  41     810.00     830.00  4.857552280891737E-07  3.947186714495959E-08 15047093
  42     830.00     850.00  3.517420206314751E-07  3.688932611246814E-08 13731426
  43     850.00     870.00  2.732748219294103E-07  4.935266860207860E-08 12536846
  44     870.00     890.00  2.489359453162086E-07  2.500477635367331E-08 11462802
  45     890.00     910.00  2.073948816128217E-07  2.235960100086590E-08 10489361
  46     910.00     930.00  2.116611189944412E-07  1.390371028465915E-08 9606003
  47     930.00     950.00  1.376805742722053E-07  1.669697723358899E-08 8800779
  48     950.00     970.00  1.230426374596010E-07  1.865109494312570E-08 8069613
  49     970.00     990.00  6.947996210808212E-08  2.185505635130029E-08 7397983
  50     990.00    1010.00  1.027953800192086E-07  9.206966009320802E-09 6795811
  51    1010.00    1030.00  3.849344636703006E-08  4.356176187569119E-08 6246331
  52    1030.00    1050.00  8.428047841842255E-08  4.187789110884089E-09 5740460
  53    1050.00    1070.00  6.151352207630952E-08  6.697898560994590E-09 5283623
  54    1070.00    1090.00  5.571571095910391E-08  7.188875301382036E-09 4859818
  55    1090.00    1110.00  3.166328208726798E-08  6.945035587287664E-09 4474755
  56    1110.00    1130.00  3.778981957370571E-08  3.953335072472720E-09 4119446
  57    1130.00    1150.00  2.793550922350588E-08  5.279849141839086E-09 3800315
  58    1150.00    1170.00  2.263437076772796E-08  4.861897268907236E-09 3503280
  59    1170.00    1190.00  1.622241385665638E-08  8.399617760506605E-09 3229892
  60    1190.00    1210.00  9.335969662974794E-09  5.299071943016634E-09 2981049
  61    1210.00    1230.00  9.454803294000126E-09  6.008493978194524E-09 2750490
  62    1230.00    1250.00  8.131030084831739E-09  6.363735268949344E-09 2536679
