# title = Invariant mass 4 leptons
# xlabel = $M_{4 \ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4 \ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
  65    6400.00    6500.00  4.883864654696915E-12  2.008384419895056E-11 958919
  66    6500.00    6600.00  7.386893042253256E-12  1.032742739671169E-11 872664
  67    6600.00    6700.00 -4.687450435043428E-12  9.491877526213110E-12 794625
  68    6700.00    6800.00  1.163865638509350E-11  4.102546809493313E-12 724441
  69    6800.00    6900.00  4.975953086725583E-12  3.712878311713019E-12 660893
  70    6900.00    7000.00  4.842980611719742E-12  1.944603115008763E-12 601950
  71    7000.00    7100.00 -5.651367935216750E-12  7.110432968137239E-12 548740
  72    7100.00    7200.00  1.127269315883546E-12  2.617990861647652E-12 501019
  73    7200.00    7300.00  2.369884632201650E-12  1.582191224918809E-12 457248
  74    7300.00    7400.00 -7.158220508507070E-12  8.518771088777245E-12 416119
  75    7400.00    7500.00  3.916871537035152E-13  9.644095238766890E-13 378922
  76    7500.00    7600.00  2.125817479097158E-12  3.726075921444516E-13 345917
  77    7600.00    7700.00  1.118162433124581E-12  5.382125712986729E-13 314818
  78    7700.00    7800.00  2.227629095316985E-12  8.762541349751478E-13 287242
  79    7800.00    7900.00  1.299668449470183E-13  7.786321574717372E-13 262383
  80    7900.00    8000.00  5.719568288383384E-13  3.893944681311014E-13 238379
  81    8000.00    8100.00  2.112474108235858E-13  4.042465890490300E-13 216529
  82    8100.00    8200.00 -3.209552057996780E-13  4.255861570933864E-13 196401
  83    8200.00    8300.00  2.753555996836236E-13  1.357452686467470E-13 177940
  84    8300.00    8400.00 -9.773922512926707E-13  1.210147152210467E-12 162527
  85    8400.00    8500.00  1.532134449932994E-13  8.541140171890543E-14 147700
  86    8500.00    8600.00 -1.455163324641773E-13  2.111122322353105E-13 133579
  87    8600.00    8700.00  3.819575359613368E-14  7.146502039456993E-14 120693
  88    8700.00    8800.00  4.351985996192121E-14  4.385536121995210E-14 109653
  89    8800.00    8900.00  7.075668823161600E-14  4.301477274637027E-14 97913
  90    8900.00    9000.00 -9.585676837827113E-14  1.663760443419831E-13 89114
  91    9000.00    9100.00  6.178643369093515E-15  2.875618187559020E-14 80677
  92    9100.00    9200.00  4.543719792948371E-14  1.054446885543609E-14 72101
  93    9200.00    9300.00  3.382237918041064E-14  6.751348902146540E-15 65386
  94    9300.00    9400.00  2.122985340928135E-14  4.578692431263604E-15 58375
  95    9400.00    9500.00  2.156116944898174E-14  3.758487501016602E-15 52315
  96    9500.00    9600.00  1.044234538290903E-14  5.413867970735317E-15 46410
  97    9600.00    9700.00  9.441340825101770E-15  1.470357049890664E-15 41783
  98    9700.00    9800.00  5.230554933030836E-15  2.260246754502797E-15 36427
  99    9800.00    9900.00  5.167769844206503E-15  1.157905419673963E-15 32763
 100    9900.00   10000.00  2.589394335690425E-15  1.822854250401398E-15 28459
 101   10000.00   10100.00 -1.201379714272753E-14  1.031337197735388E-14 25165
 102   10100.00   10200.00  8.583944010663825E-16  1.110534290659994E-15 21806
 103   10200.00   10300.00  3.979988335558968E-16  3.444250153658762E-16 19512
 104   10300.00   10400.00  1.020304846176413E-15  1.765198006800542E-16 16756
 105   10400.00   10500.00  1.020615547299643E-15  1.995849968468098E-16 14104
 106   10500.00   10600.00 -1.826424555102018E-16  5.644936534032423E-16 12328
 107   10600.00   10700.00  2.096357954629218E-16  6.129249809841947E-17 10571
 108   10700.00   10800.00  1.079673589241125E-16  1.746766663424217E-17 8955
 109   10800.00   10900.00  8.945086318835008E-17  1.707800304492181E-17 7457
 110   10900.00   11000.00  8.472828624321132E-17  2.502452467796912E-17 6338
 111   11000.00   11100.00  2.045515707103009E-17  4.489332253511163E-18 5034
 112   11100.00   11200.00  1.681812509115482E-17  4.016703053931792E-18 4159
 113   11200.00   11300.00  7.149012191548545E-18  1.650612542963450E-18 3223
 114   11300.00   11400.00  4.968260008573803E-18  3.140484803387287E-18 2681
 115   11400.00   11500.00  1.321091634239568E-18  5.361911905191063E-19 2002
 116   11500.00   11600.00  3.490229374829352E-19  1.116788860786375E-19 1518
 117   11600.00   11700.00  1.410864303832923E-18  9.964993923132982E-19 1158
 118   11700.00   11800.00  8.185537885961238E-20  4.144959194727241E-20 823
 119   11800.00   11900.00  5.467443728245971E-20  3.783287883637168E-20 528
 120   11900.00   12000.00  8.907929622878886E-22  7.506133675279887E-22 352
 121   12000.00   12100.00  1.897230587477287E-21  9.134861565555112E-22 184
 122   12100.00   12200.00  2.874352613849380E-22  1.658994346782641E-22 118
 123   12200.00   12300.00  1.474157538415825E-23  3.518679893983769E-23 59
 124   12300.00   12400.00  1.258994404620875E-26  6.406108696820878E-26 10
 125   12400.00   12500.00  2.514801930072492E-40  2.514801929416931E-40 1
 126   12500.00   12600.00  0.000000000000000E+00  0.000000000000000E+00 0
 127   12600.00   12700.00  0.000000000000000E+00  0.000000000000000E+00 0
 128   12700.00   12800.00  0.000000000000000E+00  0.000000000000000E+00 0
 129   12800.00   12900.00  0.000000000000000E+00  0.000000000000000E+00 0
 130   12900.00   13000.00  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       9.8678905928607057E-03  1.1780198747868751E-06 811479000
#=====================================================================================
