# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: .0000000000
# Number of generated events: 9164734443
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
  77    1520.00    1540.00  7.486941217153131E-09  4.171543253544897E-09 2848822
  78    1540.00    1560.00  1.136950970894559E-08  1.310558119164007E-09 2715752
  79    1560.00    1580.00  8.921826578283268E-09  2.207909688873225E-09 2592322
  80    1580.00    1600.00  2.675475426952126E-09  5.287307758648658E-09 2474070
  81    1600.00    1620.00  3.421910073891258E-09  3.129266943707629E-09 2362364
  82    1620.00    1640.00  5.119004700069492E-09  1.872915973415966E-09 2254748
  83    1640.00    1660.00  1.712030741347366E-09  1.751495917128240E-09 2155482
  84    1660.00    1680.00  4.637336624203563E-09  1.487281097943040E-09 2055724
  85    1680.00    1700.00  3.422185546208683E-09  1.170402618730358E-09 1965223
  86    1700.00    1720.00  3.423636879970323E-09  1.090215837621381E-09 1879549
  87    1720.00    1740.00  4.144890131572230E-10  3.625396723574545E-09 1795039
  88    1740.00    1760.00  3.411253563566220E-09  6.595614538543283E-10 1716914
  89    1760.00    1780.00  1.876444061452479E-09  1.345520864847660E-09 1641606
  90    1780.00    1800.00  3.076979766763334E-09  5.134158122096815E-10 1569635
  91    1800.00    1820.00  2.465802231300232E-09  4.844550587366488E-10 1502841
  92    1820.00    1840.00  1.709040731771733E-09  6.658708624411150E-10 1436610
  93    1840.00    1860.00 -6.995127770782977E-10  1.407349881535026E-09 1374096
  94    1860.00    1880.00  1.921270529441666E-09  4.773160551318817E-10 1317749
  95    1880.00    1900.00  1.333973627814820E-09  4.640443587419492E-10 1260553
  96    1900.00    1920.00  9.329912056024212E-10  6.625856755214784E-10 1207165
  97    1920.00    1940.00 -3.256879993198979E-10  1.052905104400500E-09 1155599
  98    1940.00    1960.00  2.207837797254830E-10  8.827319958208221E-10 1103773
  99    1960.00    1980.00 -5.949458426957695E-10  1.458387222969198E-09 1059963
 100    1980.00    2000.00 -5.134105214677489E-10  1.037958490338388E-09 1016708
 101    2000.00    2020.00  6.656698657634085E-10  2.413844528063802E-10 973081
 102    2020.00    2040.00  6.393980825661549E-10  2.321834679482469E-10 933436
 103    2040.00    2060.00  6.937635176122819E-10  2.047538066409932E-10 894031
 104    2060.00    2080.00  6.935693913519274E-10  1.128838894696745E-10 855968
 105    2080.00    2100.00  2.342291250967146E-10  3.718413046799108E-10 821457
 106    2100.00    2120.00  2.934662684776142E-10  2.610477889679541E-10 787505
 107    2120.00    2140.00  4.787501163061772E-10  9.313149616317879E-11 754937
 108    2140.00    2160.00 -1.700800464525252E-10  2.660052661118185E-10 723295
 109    2160.00    2180.00 -1.071397551955573E-11  3.035017333854584E-10 694917
 110    2180.00    2200.00  1.308617381226247E-10  3.509435908445457E-10 665898
 111    2200.00    2220.00  2.190854854752075E-10  1.325618111038079E-10 640082
 112    2220.00    2240.00  3.747163881906276E-10  7.641433633582793E-11 612709
 113    2240.00    2260.00  1.310486422487205E-10  1.161977542349689E-10 589006
 114    2260.00    2280.00  3.412068309995398E-10  1.221573852617097E-10 564319
 115    2280.00    2300.00 -7.464165501290921E-11  1.779948335340821E-10 542767
 116    2300.00    2320.00 -2.143584865892976E-10  2.885225981902895E-10 519651
 117    2320.00    2340.00  2.458992288594844E-10  5.592011816296223E-11 499458
 118    2340.00    2360.00  1.172571018502016E-10  7.292263888230908E-11 478340
 119    2360.00    2380.00  1.987453100464647E-10  3.993844226022814E-11 459913
 120    2380.00    2400.00  1.713315706598569E-10  4.826586167129558E-11 442125
 121    2400.00    2420.00 -6.274585171112936E-11  1.580888539237380E-10 423592
 122    2420.00    2440.00 -2.172749188892266E-11  1.017478660662906E-10 406608
 123    2440.00    2460.00  1.157861644476600E-10  2.954052908150547E-11 390667
 124    2460.00    2480.00  1.231615641301083E-10  2.312084662856719E-11 375542
 125    2480.00    2500.00  1.040821364094844E-10  1.905743877018141E-11 358827
 126    2500.00    2520.00  5.904303467231741E-11  2.741148232695036E-11 345296
 127    2520.00    2540.00  8.304091173691592E-11  1.579943452532116E-11 332811
 128    2540.00    2560.00 -5.652420763905670E-10  6.035751934659558E-10 319112
 129    2560.00    2580.00  1.925890936722408E-11  4.404872266247882E-11 305700
 130    2580.00    2600.00 -3.428813646249961E-11  5.013841640434235E-11 293684
 131    2600.00    2620.00  1.008699035251267E-11  4.102021422837375E-11 281902
 132    2620.00    2640.00  2.329701209038485E-11  2.353954274979480E-11 270942
 133    2640.00    2660.00  1.832373210371971E-11  1.573164776723108E-11 258945
 134    2660.00    2680.00  1.989064767464692E-11  1.798220409903074E-11 249429
 135    2680.00    2700.00  2.395983370513235E-11  1.739386180334204E-11 240841
 136    2700.00    2720.00  2.701164029872621E-11  7.079795423177101E-12 231423
 137    2720.00    2740.00 -5.111398527902151E-11  7.297581468912334E-11 221744
 138    2740.00    2760.00  3.316218568923727E-11  3.829554498052121E-12 213071
 139    2760.00    2780.00  2.399671753833396E-11  4.943597536807944E-12 203861
 140    2780.00    2800.00  4.647840019702029E-12  1.309070739403175E-11 195694
 141    2800.00    2820.00  2.084084622886717E-11  4.724425519589789E-12 188420
 142    2820.00    2840.00  1.915489997670249E-11  1.960203874933146E-12 181053
 143    2840.00    2860.00  9.283982880174165E-12  7.052080836577629E-12 173897
 144    2860.00    2880.00  4.754595668983610E-12  1.436481086267973E-11 166529
 145    2880.00    2900.00 -6.673933721538323E-12  1.328665774049588E-11 159536
 146    2900.00    2920.00 -1.708249446425247E-11  2.252206526156978E-11 153621
 147    2920.00    2940.00  2.217507028616376E-12  5.221566016208592E-12 148255
 148    2940.00    2960.00  1.148491574991951E-11  2.966865328897559E-12 141426
 149    2960.00    2980.00 -4.860017700982507E-11  5.647856391446777E-11 135859
