0.00 20.00 0.000000000000000E+00 0.000000000000000E+00
20.00 40.00 2.034413674271894E-02 8.105972737998289E-05
40.00 60.00 1.466318004968593E-02 5.228639988097044E-05
60.00 80.00 9.395578352202472E-03 3.964044047330546E-05
80.00 100.00 6.062785136365714E-03 3.073531263073129E-05
100.00 120.00 4.013923091941744E-03 2.367108973947861E-05
120.00 140.00 2.677036357827903E-03 2.550048472523525E-05
140.00 160.00 1.868354849004099E-03 1.973085609955277E-05
160.00 180.00 1.342356657894846E-03 1.439405499550515E-05
180.00 200.00 9.125164177175194E-04 2.640026677848110E-05
200.00 220.00 7.087581532585130E-04 9.559318931853283E-06
220.00 240.00 5.343203994288908E-04 7.473535832819316E-06
240.00 260.00 3.927232978513732E-04 7.741766839678356E-06
260.00 280.00 3.024543887752729E-04 5.792037874097641E-06
280.00 300.00 2.341345824484309E-04 4.547359807706556E-06
300.00 320.00 1.744614474334494E-04 5.157003237993169E-06
320.00 340.00 1.343263016810564E-04 5.392123066011261E-06
340.00 360.00 1.062947301605776E-04 3.891983736110752E-06
360.00 380.00 8.636372146412274E-05 3.107077912590613E-06
380.00 400.00 6.857147441770750E-05 3.551915452122905E-06
400.00 420.00 5.054715255679105E-05 3.224742472358308E-06
420.00 440.00 3.942183594620432E-05 2.888573033419024E-06
440.00 460.00 3.663100405622004E-05 1.561769755304634E-06
460.00 480.00 2.618912856877893E-05 1.774071791883780E-06
480.00 500.00 2.374185831922602E-05 1.056365174511645E-06
500.00 520.00 1.773841717944318E-05 1.492131709149802E-06
520.00 540.00 1.595545276047636E-05 1.054920223701656E-06
540.00 560.00 1.114069976826428E-05 1.446928238236624E-06
560.00 580.00 7.633895563094545E-06 1.750545992437713E-06
580.00 600.00 8.063904822282914E-06 1.096634027693967E-06
600.00 620.00 5.970153936820728E-06 9.227915250533750E-07
620.00 640.00 5.457622114332690E-06 6.558149626480025E-07
640.00 660.00 4.741103138476007E-06 4.960411409874494E-07
660.00 680.00 4.705203113324030E-06 2.872808217139583E-07
680.00 700.00 2.292118738917981E-06 5.028086126983503E-07
700.00 720.00 2.281703151050571E-06 4.592968403402118E-07
720.00 740.00 2.367111462047520E-06 3.115397643052700E-07
740.00 760.00 1.705585001093700E-06 5.102336130838814E-07
760.00 780.00 1.799277239830475E-06 1.995123850254263E-07
780.00 800.00 9.752475439358187E-07 4.433814747518218E-07
800.00 820.00 1.182685018078122E-06 2.358373624599125E-07
820.00 840.00 1.133120196830671E-06 1.866073810695655E-07
840.00 860.00 8.574722337048162E-07 1.792073361363804E-07
860.00 880.00 7.550111393182481E-07 1.181397034952044E-07
880.00 900.00 6.395997597839325E-07 1.785590559817853E-07
900.00 920.00 5.441961671213180E-07 1.098630140903497E-07
920.00 940.00 2.169928519122761E-07 3.729516128190629E-07
940.00 960.00 4.272061182772926E-07 9.018081666707742E-08
960.00 980.00 3.115315192446736E-07 1.169846244713965E-07
980.00 1000.00 3.280954872661390E-07 5.137202265229867E-08
1000.00 1020.00 1.549879570009645E-07 6.332093077164607E-08
1020.00 1040.00 2.284620860424497E-07 5.875300694633674E-08
1040.00 1060.00 -9.970262977135526E-08 1.709851758251289E-07
1060.00 1080.00 2.139500639842548E-07 3.034162373317791E-08
1080.00 1100.00 1.355318388308459E-07 3.489532674637538E-08
1100.00 1120.00 1.126486291791502E-07 4.828223206303107E-08
1120.00 1140.00 6.025131016064503E-08 4.686757327358653E-08
1140.00 1160.00 1.150107050005165E-07 1.973957013007596E-08
1160.00 1180.00 3.577650656484529E-08 5.583751337235823E-08
1180.00 1200.00 1.361000483981823E-08 3.683986522190585E-08
1200.00 1220.00 5.551010096333462E-08 2.384829180326723E-08
1220.00 1240.00 5.024333395639028E-08 1.700593771180172E-08
1240.00 1260.00 4.375154312609590E-08 1.557523857246348E-08
1260.00 1280.00 4.538531832896225E-08 7.635441406493532E-09
1280.00 1300.00 3.158774349274946E-08 1.190708600185228E-08
1300.00 1320.00 -2.665436846703795E-08 5.093797318776831E-08
1320.00 1340.00 1.120482631873646E-08 1.582446584765953E-08
1340.00 1360.00 8.680256026218573E-09 1.452244174668759E-08
1360.00 1380.00 -8.644620923486858E-09 2.681502478123930E-08
1380.00 1400.00 2.911864361695444E-08 2.634131587996523E-09
1400.00 1420.00 1.569127599793730E-08 6.619013635110979E-09
1420.00 1440.00 2.300874059673049E-08 2.904433081787196E-09
1440.00 1460.00 1.437531017008875E-08 3.258074780595413E-09
1460.00 1480.00 1.564071269181456E-08 1.788165729964333E-09
1480.00 1500.00 1.566746190833161E-10 1.015193179345818E-08
1500.00 1520.00 1.164934491621235E-08 3.179548390593950E-09
1520.00 1540.00 2.011123360815400E-09 6.660251391391108E-09
1540.00 1560.00 6.413775789976270E-09 4.055464616890073E-09
1560.00 1580.00 -5.992372551352668E-10 6.155596207680685E-09
1580.00 1600.00 9.713835914493716E-09 2.095865369926183E-09
1600.00 1620.00 7.696470869657484E-09 8.672532948123396E-10
1620.00 1640.00 6.932053739607695E-09 8.090327218248745E-10
1640.00 1660.00 3.446969062245547E-09 1.438423447982968E-09
1660.00 1680.00 4.566416977843988E-09 7.239502510838733E-10
1680.00 1700.00 3.625686967552971E-09 1.676698082353566E-09
1700.00 1720.00 8.959547289152955E-10 1.865394468634637E-09
1720.00 1740.00 -2.552100670908986E-09 4.415750793763657E-09
1740.00 1760.00 -6.771027608034124E-09 9.308206785199315E-09
1760.00 1780.00 1.477205552066395E-09 1.584895975294319E-09
1780.00 1800.00 2.761314009694195E-09 4.202517442553421E-10
