# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
  37     730.00     750.00  6.336477690163727E-05  5.043404056792875E-06 54876084
  38     750.00     770.00  5.708354587364828E-05  3.638444544980178E-06 51749684
  39     770.00     790.00  4.907372630564184E-05  2.987819682269703E-06 48812074
  40     790.00     810.00  3.696810218421714E-05  5.206228950690341E-06 46085768
  41     810.00     830.00  3.760959564715231E-05  2.366798823534873E-06 43556715
  42     830.00     850.00  2.797158301054147E-05  2.551048866836337E-06 41198171
  43     850.00     870.00  2.761991332380565E-05  2.246419916496095E-06 38988535
  44     870.00     890.00  2.502358861246305E-05  2.722203818360521E-06 36915374
  45     890.00     910.00  2.132324940921565E-05  1.763114897651256E-06 34964125
  46     910.00     930.00  1.224143763339360E-05  4.596317581228710E-06 33153827
  47     930.00     950.00  1.504449519860476E-05  1.403124600253176E-06 31443854
  48     950.00     970.00  1.535715863416660E-05  1.446228842733990E-06 29854030
  49     970.00     990.00  1.156121839384240E-05  1.508820598376531E-06 28341999
  50     990.00    1010.00  8.237665707889154E-06  3.399894291603404E-06 26949598
  51    1010.00    1030.00  7.974134193976240E-06  1.469644109802327E-06 25610007
  52    1030.00    1050.00  8.213475028835294E-06  1.060529054711990E-06 24357000
  53    1050.00    1070.00  6.026070597971739E-06  1.238936482982950E-06 23186134
  54    1070.00    1090.00  6.049289257629703E-06  9.977994960850871E-07 22068622
  55    1090.00    1110.00  5.941301641771755E-06  1.974546095718508E-06 21024815
  56    1110.00    1130.00  4.957938641411194E-06  7.766632699082180E-07 20032571
  57    1130.00    1150.00  3.363644090911769E-06  1.137757943608835E-06 19090213
  58    1150.00    1170.00  3.278488710620275E-06  8.029816751349064E-07 18200978
  59    1170.00    1190.00  3.456215610139853E-06  5.100064444061622E-07 17365475
  60    1190.00    1210.00  2.973649233288801E-06  5.330744286118251E-07 16574895
  61    1210.00    1230.00  3.101960234465886E-06  4.911280005092162E-07 15825123
  62    1230.00    1250.00  2.024299796352757E-06  6.449939961390398E-07 15107578
  63    1250.00    1270.00  2.055839101299021E-06  4.497451576080151E-07 14439485
  64    1270.00    1290.00  1.773777251901710E-06  6.091109689097598E-07 13795948
  65    1290.00    1310.00  1.699652458703620E-06  3.654832365999502E-07 13190798
  66    1310.00    1330.00  1.390519041808776E-06  3.383045919182563E-07 12609743
  67    1330.00    1350.00  1.783966292171521E-06  1.494321316138082E-07 12058809
  68    1350.00    1370.00  2.888316363802660E-07  4.029840318188174E-07 11539237
  69    1370.00    1390.00  1.303558137670955E-06  1.741457364323193E-07 11043086
  70    1390.00    1410.00  1.130035799540803E-06  1.613866646646990E-07 10572914
  71    1410.00    1430.00  6.240419381916201E-07  3.085291984326535E-07 10124760
  72    1430.00    1450.00  7.468911394031204E-07  1.585800961757045E-07 9694724
  73    1450.00    1470.00  1.026306798433391E-07  3.555664296770804E-07 9289236
