# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 3619765
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
  75    4440.00    4500.00  2.085878248244740E-08  2.220820602697356E-09 5422124
  76    4500.00    4560.00  1.431466719375975E-08  2.791466919670347E-09 5141667
  77    4560.00    4620.00 -1.223519260126067E-10  1.041675791188005E-08 4869553
  78    4620.00    4680.00  3.900517573983681E-09  4.953400532248986E-09 4617483
  79    4680.00    4740.00  5.983765806137672E-09  4.217199912466133E-09 4374038
  80    4740.00    4800.00  7.725254450032479E-09  2.160172290563295E-09 4141766
  81    4800.00    4860.00  1.678499904455948E-09  3.444300501021961E-09 3926529
  82    4860.00    4920.00  2.569426745961768E-09  3.399184473326124E-09 3721787
  83    4920.00    4980.00  4.885966214606105E-09  1.231905368930834E-09 3528235
  84    4980.00    5040.00  3.809888917293863E-09  1.219715788248933E-09 3343291
  85    5040.00    5100.00  5.446512582201125E-11  2.169318431468600E-09 3170219
  86    5100.00    5160.00 -1.961791131986430E-10  2.409061419128926E-09 3002022
  87    5160.00    5220.00  2.651231123939121E-09  5.619892502128793E-10 2848205
  88    5220.00    5280.00 -2.544900381038607E-09  3.450164896550325E-09 2698078
  89    5280.00    5340.00  1.619308455258121E-09  7.227790451350095E-10 2555471
  90    5340.00    5400.00 -2.787955032132675E-09  2.342757970269747E-09 2422250
  91    5400.00    5460.00  1.207721695329111E-09  4.803880886978670E-10 2293421
  92    5460.00    5520.00  9.373088833410296E-10  9.258677504306232E-10 2171655
  93    5520.00    5580.00  1.143782353814359E-09  2.933686137167583E-10 2056626
  94    5580.00    5640.00  1.040154583679034E-09  2.245288751548851E-10 1946761
  95    5640.00    5700.00  1.112645197248765E-09  2.014478731809904E-10 1845776
  96    5700.00    5760.00  6.698596286942397E-10  2.680373680727146E-10 1746590
  97    5760.00    5820.00 -5.677400145144975E-10  1.045802425480938E-09 1653312
  98    5820.00    5880.00  7.221833285341036E-10  1.307730194691098E-10 1565360
  99    5880.00    5940.00  6.314199978947873E-10  8.766778514925651E-11 1482591
 100    5940.00    6000.00  1.893128299170894E-10  3.206015881029532E-10 1404009
 101    6000.00    6060.00  1.520037835882913E-10  3.221105267572725E-10 1328558
 102    6060.00    6120.00  3.439801355085880E-10  8.589149819774680E-11 1255510
 103    6120.00    6180.00  2.661012343571956E-10  9.483091429678109E-11 1185378
 104    6180.00    6240.00  2.437846438648579E-10  5.945903316028218E-11 1123222
 105    6240.00    6300.00 -2.579746695174645E-10  3.545584161371665E-10 1062415
 106    6300.00    6360.00 -1.065531186207856E-10  2.040360481216625E-10 1005754
 107    6360.00    6420.00  1.516418536781281E-10  3.899194700867502E-11 949704
 108    6420.00    6480.00  1.425570060202422E-10  3.826554551712025E-11 896099
 109    6480.00    6540.00  1.169930908359060E-10  2.613642278887841E-11 847702
 110    6540.00    6600.00 -4.832165339617130E-10  4.028690075745210E-10 802733
 111    6600.00    6660.00  6.887468811874238E-11  2.333619236352184E-11 757495
 112    6660.00    6720.00  6.460186249530786E-11  3.141251484031335E-11 714901
 113    6720.00    6780.00  3.204864702081856E-11  4.059474412845883E-11 676964
 114    6780.00    6840.00  3.551623227812077E-11  3.569328796745888E-11 637640
 115    6840.00    6900.00 -1.345815297075730E-10  1.368059761798180E-10 602816
 116    6900.00    6960.00  1.834364266853267E-11  2.358208453470704E-11 569426
 117    6960.00    7020.00 -1.303554999553541E-10  9.988159602708148E-11 538397
 118    7020.00    7080.00  2.643381686288611E-11  5.388103370229817E-12 508138
 119    7080.00    7140.00  2.786905789867336E-11  7.840938343514436E-12 479662
 120    7140.00    7200.00  2.044397388448943E-11  8.735955565646774E-12 450988
 121    7200.00    7260.00  6.946005965423999E-12  1.082005692730572E-11 425884
 122    7260.00    7320.00  1.892931604606687E-11  4.096200849948443E-12 400702
 123    7320.00    7380.00  1.578741561508302E-11  1.663962652097857E-12 378160
 124    7380.00    7440.00  8.858018823810907E-12  4.645050369441267E-12 356740
 125    7440.00    7500.00 -5.757356272955218E-11  4.901780453016183E-11 335825
 126    7500.00    7560.00  7.179593576674009E-12  2.402072328757599E-12 317042
 127    7560.00    7620.00  7.035669765181868E-12  1.453745726373688E-12 298553
 128    7620.00    7680.00  1.285381267388139E-12  3.491022269406112E-12 281428
 129    7680.00    7740.00  3.519434888987393E-12  2.627968070707346E-12 264813
 130    7740.00    7800.00  5.452243892951445E-12  5.508787477243280E-13 249875
 131    7800.00    7860.00  3.646950717333081E-12  6.242974721033232E-13 234741
 132    7860.00    7920.00  2.629451476378310E-12  1.146835911782994E-12 221380
